"","mc_critic_score","mc_critic_num","mc_audience_score","mc_audience_num","imdb_score","imdb_reviews"
"3095",28,20,7.4,91,6.1,20132
"3096",52,33,6.7,72,6.9,109832
"3097",43,34,8.2,215,6.7,217264
"3098",81,21,8.8,407,8,350698
"3099",49,29,8.5,289,7.1,220837
"3100",76,31,6.6,7,6.9,5253
"3101",24,21,7.5,35,5.7,24309
"3102",46,26,6,42,6,43077
"3103",60,31,8.4,86,6.3,49058
"3104",33,30,6.5,15,4.9,11604
"3105",27,26,4.3,26,3.6,20864
"3106",24,24,7.1,21,5.6,30374
"3107",61,26,7.9,22,7,18922
"3108",30,28,5.8,23,6.8,31119
"3109",54,33,8.5,14,6.9,19190
"3110",30,23,8.5,41,5.7,28059
"3111",17,27,1.4,143,5.1,13639
"3112",22,28,1.2,80,5.3,25239
"3113",51,32,7.3,98,7.3,158198
"3114",70,28,8.2,62,7.2,17702
"3115",79,35,8.5,153,7.5,164098
"3116",15,34,3.3,80,3.9,34980
"3117",36,30,5.7,27,4.2,18981
"3118",69,34,1,119,6.1,32463
"3119",42,31,7.5,94,6.9,107232
"3120",30,26,6.4,144,5.7,69045
"3121",37,33,1.4,144,5.8,36740
"3122",48,30,8.6,137,6.6,57742
"3123",29,26,7,66,5.4,15672
"3124",77,34,4.6,596,8,281855
"3125",9,33,2,300,2.5,74733
"3126",16,25,2.8,63,4.3,15601
"3127",13,21,5.4,27,5,14071
"3128",56,32,6.8,22,6.7,35052
"3129",44,30,8.7,278,6.7,159838
"3130",64,35,8.9,685,8.1,885328
"3131",69,32,6.6,35,6.7,36013
"3132",52,33,4.8,42,6.7,18460
"3133",63,34,2.3,98,7,47992
"3134",16,29,1.1,73,4.8,10277
"3135",29,26,1.8,53,5.1,14294
"3136",19,23,5.6,27,4,3606
"3137",35,29,8.7,189,5.3,26081
"3138",25,32,7.1,10,5.7,12938
"3139",39,28,1.1,77,5.8,10338
"3140",64,35,8.7,856,7.6,464915
"3141",24,20,5.4,45,5.2,31881
"3142",58,34,7,81,7.4,121215
"3143",44,31,6.1,13,6.7,13486
"3144",19,19,5.3,30,4.9,16784
"3145",22,23,4.9,30,5.2,12197
"3146",45,24,8.8,33,5.7,9314
"3147",64,35,8,73,4.6,17378
"3148",37,28,NA,NA,5.6,4433
"3149",54,32,7,21,7.3,19708
"3150",21,16,5.9,27,4.6,18998
"3151",23,26,8.6,84,5.4,13319
"3152",62,32,7.1,20,6.9,17237
"3153",74,27,8.9,73,7.6,41873
"3154",57,38,6.4,107,6.4,183568
"3155",25,24,8.8,32,5.2,8158
"3156",31,30,4.5,41,5,9680
"3157",41,23,7,35,6.1,7239
"3158",11,16,4.4,9,4.8,3071
"3159",20,17,7,79,6.1,6635
"3160",65,32,7.6,14,7.1,20839
"3161",65,35,8.8,532,7.3,319441
"3162",20,22,6.6,12,5.5,9550
"3163",32,33,2.3,12,5.5,11301
"3164",7,13,8.2,89,5.8,8138
"3165",33,30,7.2,13,5.7,4273
"3166",41,32,2.2,78,5.6,8950
"3167",49,30,2.2,80,6.7,31120
"3168",49,31,NA,NA,6.2,5519
"3169",14,16,2.4,36,4.7,4200
"3170",47,27,6,4,4.9,5484
"3171",31,21,1,115,5.9,14156
"3172",41,31,8.5,22,5.3,9828
"3173",33,33,8.5,151,5.8,103590
"3174",90,36,8.9,502,7.7,299894
"3175",21,17,5.3,7,5.2,3402
"3176",10,26,2,61,4.6,3879
"3177",32,25,8,5,6.3,778
"3178",23,28,2,5,5.6,3610
"3179",84,34,8.7,146,7.8,155579
"3180",45,33,5.4,88,6.7,149407
"3181",34,34,NA,NA,5.4,2233
"3182",40,30,4.2,64,6.5,69764
"3183",62,36,8.8,330,7.3,204377
"3184",35,25,7.6,170,6.3,38803
"3185",82,34,8.7,282,7.1,157247
"3186",18,16,1.8,18,4.2,1129
"3187",46,26,8.6,135,6.3,72619
"3188",51,36,6.1,1653,6.5,706200
"3189",66,35,9,1822,8.8,1786076
"3190",61,30,7.3,6,6.8,8945
"3191",59,33,7.1,9,6.2,16568
"3192",42,28,1.7,50,5.2,17588
"3193",31,26,8.3,68,5,16348
"3194",28,17,2.4,384,5.6,52129
"3195",70,34,4.2,120,6.8,61822
"3196",39,33,7.9,64,5.5,90472
"3197",79,27,7.8,207,7.3,195640
"3198",54,33,8.8,27,6.8,11652
"3199",54,33,6.8,24,6.4,62948
"3200",NA,NA,NA,NA,NA,NA
